X,Y,Z,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,xcoord,ycoord
-102.3282929,31.87670898,0,HotspotAF69,"Network ID: 00:54:AF:E2:AF:69
Encryption: WPA2
Time: 2024-11-16T20:19:03.000-08:00
Signal: -77.0
Accuracy: 1.1
Type: WIFI",,,,,-1,0,-1,,,-102.3282929,31.87670898
-102.3170242,31.87115669,0,HotspotEDA0,"Network ID: 00:54:AF:FE:ED:A0
Encryption: WPA2
Time: 2024-11-16T21:46:19.000-08:00
Signal: -80.0
Accuracy: 2.7
Type: WIFI",,,,,-1,0,-1,,,-102.3170242,31.87115669
-102.3249435,31.87701607,0,Kia_kyTt,"Network ID: 00:92:A5:B5:47:83
Encryption: WPA3
Time: 2024-11-16T20:40:22.000-08:00
Signal: -98.0
Accuracy: 2.6
Type: WIFI",,,,,-1,0,-1,,,-102.3249435,31.87701607
-102.321579,31.8686924,0,myChevrolet4979,"Network ID: 00:92:A5:D4:A8:FD
Encryption: WPA2
Time: 2024-11-16T21:59:23.000-08:00
Signal: -96.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.321579,31.8686924
-102.3207626,31.8764019,0,illhave,"Network ID: 00:92:A5:EC:0A:27
Encryption: WPA3
Time: 2024-11-16T21:43:07.000-08:00
Signal: -83.0
Accuracy: 2.6
Type: WIFI",,,,,-1,0,-1,,,-102.3207626,31.8764019
-102.323555,31.87716484,0,NewThermostat_3C2CF9,"Network ID: 00:D0:2D:3C:2C:F9
Encryption: Unknown
Time: 2024-11-16T21:40:57.000-08:00
Signal: -76.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.323555,31.87716484
-102.3154526,31.87825966,0,Ashmore_Ext,"Network ID: 00:E0:27:41:B4:90
Encryption: WPA2
Time: 2024-11-16T21:30:02.000-08:00
Signal: -79.0
Accuracy: 2.6
Type: WIFI",,,,,-1,0,-1,,,-102.3154526,31.87825966
-102.3134384,31.88322449,0,CarAP_4VC9H,"Network ID: 02:08:22:4A:1E:FC
Encryption: WPA2
Time: 2024-11-16T21:16:56.000-08:00
Signal: -91.0
Accuracy: 2.7
Type: WIFI",,,,,-1,0,-1,,,-102.3134384,31.88322449
-102.3242645,31.87936211,0,BK1D04C-0B3C7CBBC663-F908EA,"Network ID: 02:12:34:B6:93:BB
Encryption: Unknown
Time: 2024-11-16T20:53:42.000-08:00
Signal: -92.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3242645,31.87936211
-102.3216858,31.88009644,0,EarthLink4575,"Network ID: 02:13:D3:DF:92:FD
Encryption: WPA2
Time: 2024-11-16T20:58:28.000-08:00
Signal: -78.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3216858,31.88009644
-102.3216629,31.87987328,0,EarthLink4575,"Network ID: 02:13:D3:DF:92:FE
Encryption: WPA2
Time: 2024-11-16T20:57:54.000-08:00
Signal: -89.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3216629,31.87987328
-102.3140488,31.88258553,0,HP03A8EE,"Network ID: 02:23:13:13:32:0F
Encryption: None
Time: 2024-11-16T21:15:11.000-08:00
Signal: -82.0
Accuracy: 2.1
Type: WIFI",,,,,-1,0,-1,,,-102.3140488,31.88258553
